PERIOD,OwnerId,DealID,Opportunity stage,Closed won,Closed lost,Inbound Calls,Inbound Email,Outbound Email,Meetings Scheduled,Lead Response Time,Average Contract Value,Sales Cycle Length,Linkedin Messaging,Daily opportunity movements,Outbound leads created,Contacts per/in company,Sales by territory,Sales by industry,Sales by channel,Number of Demos
2021-08-31,3,19,Commitment,0,0,9,2,0,0,33,727.61,226,2,1,1,8,1,3,2,3
2021-01-09,3,19,Closed,0,1,0,2,4,2,2,1738.61,227,7,4,8,2,1,3,2,3
2021-01-21,3,20,Negotiation,0,0,0,0,4,1,14,3837.79,0,8,0,4,7,2,2,1,3
2021-08-05,3,20,Interaction,0,0,5,1,0,3,16,4005.16,107,2,4,1,7,2,2,1,0
2021-01-06,3,20,Pitching,0,0,2,2,0,0,11,2023.7,131,6,3,8,5,2,2,1,1
2021-10-31,3,20,Commitment,0,0,2,2,0,0,11,2023.7,283,6,3,8,5,2,2,1,1
2021-01-11,3,20,Closed,0,1,0,3,0,3,21,2023.7,284,6,3,5,4,2,2,1,0
2021-01-17,2,21,Negotiation,0,0,4,4,0,0,39,4222.81,0,6,0,0,6,3,2,1,0
2021-01-18,2,21,Interaction,0,0,5,0,3,1,41,676.23,1,6,2,6,6,3,2,1,1
2021-01-05,2,21,Pitching,0,0,8,1,4,3,15,1925.55,104,2,0,0,4,3,2,1,3
2021-08-31,2,21,Commitment,0,0,8,1,4,3,15,1925.55,226,2,0,0,4,3,2,1,3
2021-01-09,2,21,Closed,0,1,2,4,3,0,36,1925.55,227,7,4,4,3,3,2,1,0
2021-01-13,5,22,Negotiation,0,0,3,4,2,1,19,2181.69,0,4,2,0,6,1,0,1,0
2021-01-25,5,22,Pitching,0,0,7,4,1,1,10,2181.69,12,3,4,5,9,1,0,1,3
2021-02-26,5,22,Interaction,0,0,7,0,3,1,42,4206.36,44,8,2,2,4,1,0,1,2
2021-06-30,5,22,Commitment,0,0,7,0,3,1,42,4206.36,168,8,2,2,4,1,0,1,2
2021-01-07,5,22,Closed,0,1,9,3,2,0,6,2181.69,169,5,4,0,2,1,0,1,0
2021-01-23,4,23,Negotiation,0,0,6,3,4,3,26,594.89,0,8,3,2,3,1,0,0,0
2021-02-14,4,23,Interaction,0,0,6,3,2,0,32,594.89,22,5,0,4,9,1,0,0,0
2021-01-12,4,23,Pitching,0,0,6,3,1,2,47,594.89,312,8,0,3,4,1,0,0,0
2021-01-12,4,23,Commitment,0,0,6,3,1,2,47,594.89,312,8,0,3,4,1,0,0,0
2021-02-12,4,23,Closed,1,0,6,0,0,2,14,3966.41,313,9,1,7,4,1,0,0,3
2021-01-03,1,24,Pitching,0,0,9,2,3,3,2,1629.77,0,2,4,4,9,1,3,0,3
2021-01-05,1,24,Negotiation,0,0,7,1,1,3,18,1629.77,61,8,0,2,3,1,3,0,0
2021-04-06,1,24,Interaction,0,0,4,4,3,4,46,4465.07,95,5,2,5,7,1,3,0,2
2021-08-31,1,24,Commitment,0,0,4,4,3,4,46,4465.07,183,5,2,5,7,1,3,0,2
2021-01-09,1,24,Closed,0,1,7,4,0,2,38,1629.77,184,4,1,2,6,1,3,0,2
2021-01-03,1,25,Pitching,0,0,9,1,3,1,23,829.2,0,7,4,3,3,3,0,2,3
2021-04-27,1,25,Interaction,0,0,1,4,3,2,12,2809.71,57,6,2,1,7,3,0,2,3
2021-01-05,1,25,Negotiation,0,0,2,0,3,3,26,829.2,61,9,1,7,7,3,0,2,1
2021-08-31,1,25,Commitment,0,0,2,0,3,3,26,829.2,183,9,1,7,7,3,0,2,1
2021-01-09,1,25,Closed,0,1,7,3,3,1,2,829.2,184,9,2,6,4,3,0,2,1
2021-01-21,3,26,Negotiation,0,0,8,3,0,0,11,932.52,0,8,2,6,3,1,3,1,1
2021-01-06,3,26,Pitching,0,0,5,2,3,3,43,3278.59,131,3,1,4,1,1,3,1,1
2021-09-21,3,26,Interaction,0,0,7,0,1,0,37,3547.06,243,4,0,1,2,1,3,1,0
2021-10-31,3,26,Commitment,0,0,7,0,1,0,37,3547.06,283,4,0,1,2,1,3,1,0
2021-01-11,3,26,Closed,1,0,9,0,3,4,35,3278.59,284,2,3,5,2,1,3,1,3
2021-01-13,1,27,Negotiation,0,0,2,3,0,3,23,3880.87,0,0,0,5,3,3,1,1,3
2021-01-25,1,27,Interaction,0,0,3,2,0,1,37,3880.87,12,0,0,6,2,3,1,1,2
2021-01-07,1,27,Pitching,0,0,8,1,4,1,24,3880.87,169,3,1,4,3,3,1,1,0
2021-10-17,1,27,Commitment,0,0,8,1,4,1,24,3880.87,277,3,1,4,3,3,1,1,0
2021-10-18,1,27,Closed,0,1,1,0,0,4,27,599.67,278,0,2,1,6,3,1,1,0
2021-01-02,3,28,Pitching,0,0,5,3,4,3,36,2360.48,0,4,1,1,3,2,0,2,2
2021-01-03,3,28,Negotiation,0,0,4,3,3,1,23,2360.48,28,0,0,3,6,2,0,2,0
2021-01-05,3,28,Interaction,0,0,1,1,0,0,36,2360.48,89,2,1,7,3,2,0,2,0
2021-09-06,3,28,Commitment,0,0,1,1,0,0,36,2360.48,128,2,1,7,3,2,0,2,0
2021-10-06,3,28,Closed,0,1,1,1,3,0,36,1623.64,129,2,3,7,1,2,0,2,1
2021-01-23,5,29,Negotiation,0,0,1,2,4,1,36,1500.63,0,2,0,9,2,1,0,1,3
2021-02-14,5,29,Pitching,0,0,6,1,0,2,7,1500.63,22,4,2,2,7,1,0,1,2
2021-06-17,5,29,Interaction,0,0,9,4,3,4,35,2121.75,145,9,0,5,6,1,0,1,1
2021-11-30,5,29,Commitment,0,0,9,4,3,4,35,2121.75,311,9,0,5,6,1,0,1,1
2021-01-12,5,29,Closed,0,1,9,1,0,1,5,1500.63,312,4,3,3,3,1,0,1,1
2021-01-17,1,30,Negotiation,0,0,2,2,1,3,30,774.66,0,7,4,3,5,1,0,0,3
2021-01-25,1,30,Interaction,0,0,0,2,0,2,16,1726.18,8,5,2,7,9,1,0,0,0
2021-02-02,1,30,Pitching,0,0,4,3,4,3,26,774.66,16,0,4,5,3,1,0,0,1
2021-08-31,1,30,Commitment,0,0,4,3,4,3,26,774.66,226,0,4,5,3,1,0,0,1
2021-01-09,1,30,Closed,0,1,9,0,2,0,10,774.66,227,6,0,2,9,1,0,0,3
2021-01-17,3,31,Negotiation,0,0,4,0,1,2,4,1660.87,0,0,3,6,6,1,0,1,2
2021-01-05,3,31,Pitching,0,0,9,4,4,3,6,4142.69,104,8,4,4,9,1,0,1,3
2021-06-13,3,31,Interaction,0,0,5,2,0,3,16,2440.83,147,3,2,4,1,1,0,1,0
2021-08-31,3,31,Commitment,0,0,5,2,0,3,16,2440.83,226,3,2,4,1,1,0,1,0
2021-01-09,3,31,Closed,1,0,6,0,1,3,19,4142.69,227,0,0,6,4,1,0,1,2
2021-01-02,1,32,Pitching,0,0,2,0,0,3,37,3535.71,0,3,3,3,6,2,1,1,3
2021-01-03,1,32,Negotiation,0,0,8,2,2,0,32,3535.71,28,8,0,8,3,2,1,1,3
2021-03-26,1,32,Interaction,0,0,9,3,2,2,44,2089.79,53,4,3,0,4,2,1,1,3
2021-04-30,1,32,Commitment,0,0,9,3,2,2,44,2089.79,88,4,3,0,4,2,1,1,3
2021-01-05,1,32,Closed,0,1,0,2,0,3,8,3535.71,89,7,3,2,9,2,1,1,1
2021-01-21,5,33,Negotiation,0,0,5,3,0,2,18,4842.21,0,7,1,1,5,2,2,1,3
2021-01-06,5,33,Pitching,0,0,0,1,2,2,14,3886.81,131,9,3,2,7,2,2,1,2
2021-06-23,5,33,Interaction,0,0,0,1,4,3,32,1214.48,153,9,1,8,7,2,2,1,2
2021-10-31,5,33,Commitment,0,0,0,1,4,3,32,1214.48,283,9,1,8,7,2,2,1,2
2021-01-11,5,33,Closed,0,1,5,3,3,1,33,3886.81,284,2,0,6,1,2,2,1,3
2021-01-03,3,34,Pitching,0,0,6,1,0,0,35,2485.89,0,5,0,3,3,3,2,2,2
2021-01-05,3,34,Negotiation,0,0,8,3,3,0,13,2485.89,61,7,2,5,4,3,2,2,2
2021-08-08,3,34,Interaction,0,0,4,4,3,1,3,1566.32,160,2,4,6,8,3,2,2,3
2021-08-31,3,34,Commitment,0,0,4,4,3,1,3,1566.32,183,2,4,6,8,3,2,2,3
2021-01-09,3,34,Closed,1,0,8,2,3,1,36,2485.89,184,1,4,5,4,3,2,2,0
2021-01-13,4,35,Negotiation,0,0,8,1,0,4,37,977.48,0,7,2,5,4,0,3,2,2
2021-01-04,4,35,Pitching,0,0,6,4,4,3,8,3382.65,78,6,3,8,5,0,3,2,3
2021-06-21,4,35,Interaction,0,0,5,1,2,2,21,2743.6,159,6,4,8,5,0,3,2,1
2021-06-30,4,35,Commitment,0,0,5,1,2,2,21,2743.6,168,6,4,8,5,0,3,2,1
2021-01-07,4,35,Closed,0,1,3,1,0,1,18,3382.65,169,6,2,6,8,0,3,2,2
2021-01-13,5,36,Negotiation,0,0,6,2,1,3,32,2095.35,0,2,0,4,7,0,2,2,1
2021-01-04,5,36,Pitching,0,0,4,2,0,4,25,3258.06,78,2,3,8,6,0,2,2,0
2021-05-22,5,36,Interaction,0,0,3,4,1,4,46,3142.39,129,8,4,8,7,0,2,2,2
2021-06-30,5,36,Commitment,0,0,3,4,1,4,46,3142.39,168,8,4,8,7,0,2,2,2
2021-01-07,5,36,Closed,0,1,1,1,4,4,46,3258.06,169,8,4,9,1,0,2,2,2
2021-01-13,1,37,Negotiation,0,0,4,3,1,0,27,4080.29,0,1,1,4,9,3,0,0,0
2021-02-22,1,37,Interaction,0,0,4,0,2,1,44,661.26,40,5,0,6,5,3,0,0,3
2021-01-04,1,37,Pitching,0,0,4,4,3,3,15,1962.75,78,6,4,5,5,3,0,0,3
2021-06-30,1,37,Commitment,0,0,4,4,3,3,15,1962.75,168,6,4,5,5,3,0,0,3
2021-01-07,1,37,Closed,0,1,0,0,4,2,21,1962.75,169,3,1,9,4,3,0,0,2
2021-01-13,5,38,Negotiation,0,0,3,2,1,2,18,2728.33,0,2,3,0,4,1,0,0,0
2021-01-25,5,38,Pitching,0,0,6,1,1,0,25,2728.33,12,9,1,3,3,1,0,0,0
2021-02-26,5,38,Interaction,0,0,4,2,3,0,45,967.99,44,8,1,2,2,1,0,0,0
2021-06-30,5,38,Commitment,0,0,4,2,3,0,45,967.99,168,8,1,2,2,1,0,0,0
2021-01-07,5,38,Closed,0,1,2,2,4,2,38,2728.33,169,0,2,0,2,1,0,0,2
2021-01-17,5,39,Negotiation,0,0,3,0,0,3,22,2862.55,0,2,0,8,4,2,2,1,2
2021-02-02,5,39,Pitching,0,0,3,2,1,2,32,2862.55,16,6,1,6,2,2,2,1,3
2021-08-27,5,39,Interaction,0,0,1,3,4,3,11,2395.44,222,1,1,3,6,2,2,1,3
2021-08-31,5,39,Commitment,0,0,1,3,4,3,11,2395.44,226,1,1,3,6,2,2,1,3
2021-01-09,5,39,Closed,0,1,6,0,0,3,36,2862.55,227,1,0,6,4,2,2,1,0
2021-01-19,4,40,Negotiation,0,0,2,2,4,3,16,2769.73,0,8,3,8,5,0,2,0,0
2021-03-18,4,40,Interaction,0,0,0,4,2,3,19,1067.02,58,8,2,3,3,0,2,0,0
2021-02-06,4,40,Pitching,0,0,0,1,2,0,10,2769.73,134,8,2,8,7,0,2,0,2
2021-09-30,4,40,Commitment,0,0,0,1,2,0,10,2769.73,254,8,2,8,7,0,2,0,2
2021-01-10,4,40,Closed,1,0,6,3,3,4,42,2769.73,255,9,0,1,9,0,2,0,0
2021-01-17,3,41,Negotiation,0,0,2,2,4,2,31,3508.01,0,9,3,4,1,3,1,1,2
2021-02-02,3,41,Pitching,0,0,0,4,0,1,10,3508.01,16,7,0,5,5,3,1,1,2
2021-01-03,3,41,Interaction,0,0,6,3,2,1,16,878.05,43,1,1,9,5,3,1,1,1
2021-08-31,3,41,Commitment,0,0,6,3,2,1,16,878.05,226,1,1,9,5,3,1,1,1
2021-01-09,3,41,Closed,0,1,3,2,0,4,38,3508.01,227,8,0,2,4,3,1,1,2
2021-01-13,5,42,Negotiation,0,0,9,3,1,2,38,3165.95,0,6,3,5,2,0,2,0,1
2021-01-25,5,42,Pitching,0,0,8,3,4,1,27,3165.95,12,9,0,9,9,0,2,0,0
2021-09-04,5,42,Interaction,0,0,5,2,0,3,25,1303.9,86,7,2,2,7,0,2,0,3
2021-06-30,5,42,Commitment,0,0,5,2,0,3,25,1303.9,168,7,2,2,7,0,2,0,3
2021-01-07,5,42,Closed,0,1,2,3,3,2,21,3165.95,169,8,2,3,7,0,2,0,0
2021-01-23,4,43,Negotiation,0,0,4,1,0,2,34,3885.33,0,3,2,4,1,3,2,2,3
2021-02-14,4,43,Pitching,0,0,0,2,0,1,14,3885.33,22,3,2,1,3,3,2,2,0
2021-05-23,4,43,Interaction,0,0,4,2,4,3,43,3554.16,120,1,2,0,3,3,2,2,3
2021-11-30,4,43,Commitment,0,0,4,2,4,3,43,3554.16,311,1,2,0,3,3,2,2,3
2021-01-12,4,43,Closed,1,0,8,1,2,4,29,3885.33,312,6,3,2,4,3,2,2,2
2021-01-23,1,44,Negotiation,0,0,1,4,1,4,30,1294.8,0,2,2,6,6,0,0,1,0
2021-02-14,1,44,Pitching,0,0,1,4,1,3,22,1294.8,22,6,0,5,8,0,0,1,3
2021-03-15,1,44,Interaction,0,0,2,3,4,0,15,3705.25,51,4,1,1,4,0,0,1,0
2021-11-30,1,44,Commitment,0,0,2,3,4,0,15,3705.25,311,4,1,1,4,0,0,1,0
2021-01-12,1,44,Closed,0,1,6,3,1,1,23,1294.8,312,6,1,7,3,0,0,1,1
2021-01-23,3,45,Negotiation,0,0,4,4,1,2,47,4741.75,0,1,3,4,9,1,1,0,0
2021-02-14,3,45,Pitching,0,0,4,4,4,1,12,4741.75,22,1,4,1,7,1,1,0,0
2021-07-04,3,45,Interaction,0,0,2,0,4,0,21,2163.55,74,2,1,3,3,1,1,0,2
2021-11-30,3,45,Commitment,0,0,2,0,4,0,21,2163.55,311,2,1,3,3,1,1,0,2
2021-01-12,3,45,Closed,0,1,9,0,4,4,7,4741.75,312,5,2,7,8,1,1,0,1
2021-01-19,4,46,Negotiation,0,0,5,3,4,4,27,4056.94,0,2,1,6,1,3,1,0,0
2021-12-05,4,46,Interaction,0,0,8,4,4,4,19,4851.81,113,9,1,1,8,3,1,0,3
2021-02-06,4,46,Pitching,0,0,6,0,2,4,3,4056.94,134,9,0,7,7,3,1,0,1
2021-09-30,4,46,Commitment,0,0,6,0,2,4,3,4056.94,254,9,0,7,7,3,1,0,1
2021-01-10,4,46,Closed,1,0,3,3,1,0,13,4056.94,255,7,3,0,2,3,1,0,1
2021-01-13,5,47,Negotiation,0,0,2,3,1,1,24,1003.01,0,7,2,2,3,3,1,2,3
2021-01-04,5,47,Pitching,0,0,2,4,0,1,23,581.73,78,8,0,1,1,3,1,2,0
2021-06-29,5,47,Interaction,0,0,4,0,4,2,5,946.91,167,2,0,6,8,3,1,2,1
2021-06-30,5,47,Commitment,0,0,4,0,4,2,5,946.91,168,2,0,6,8,3,1,2,1
2021-01-07,5,47,Closed,1,0,1,4,1,1,34,581.73,169,5,3,9,6,3,1,2,0
2021-01-13,2,48,Negotiation,0,0,6,1,2,2,23,871.0,0,1,4,3,6,2,3,0,1
2021-01-25,2,48,Interaction,0,0,2,1,2,3,13,871.0,12,8,0,6,9,2,3,0,1
2021-01-07,2,48,Pitching,0,0,5,1,4,2,21,871.0,169,2,2,8,6,2,3,0,0
2021-08-22,2,48,Commitment,0,0,5,1,4,2,21,871.0,221,2,2,8,6,2,3,0,0
2021-08-23,2,48,Closed,0,1,5,0,0,2,41,2026.52,222,4,2,1,3,2,3,0,1
2021-01-21,2,49,Negotiation,0,0,9,2,1,4,3,3311.13,0,8,1,2,2,0,3,1,2
2021-01-06,2,49,Pitching,0,0,5,2,4,3,47,2281.67,131,7,0,2,8,0,3,1,1
2021-09-22,2,49,Interaction,0,0,9,1,1,1,9,916.79,244,0,0,5,1,0,3,1,0
2021-10-31,2,49,Commitment,0,0,9,1,1,1,9,916.79,283,0,0,5,1,0,3,1,0
2021-01-11,2,49,Closed,0,1,7,2,1,4,9,2281.67,284,8,1,4,5,0,3,1,1
2021-01-19,3,50,Negotiation,0,0,5,2,3,4,23,1224.59,0,0,3,2,6,0,3,0,1
2021-02-06,3,50,Interaction,0,0,9,3,2,0,25,1224.59,134,6,1,8,1,0,3,0,0
2021-01-10,3,50,Pitching,0,0,8,0,3,1,2,1224.59,255,0,2,1,5,0,3,0,0
2021-11-21,3,50,Commitment,0,0,8,0,3,1,2,1224.59,306,0,2,1,5,0,3,0,0
2021-11-22,3,50,Closed,0,1,9,2,4,4,45,1272.48,307,9,4,6,7,0,3,0,3
2021-10-01,3,51,Interaction,0,0,1,3,1,2,30,520.69,0,4,0,5,1,1,0,1,3
2021-01-13,3,51,Negotiation,0,0,8,4,2,4,1,4337.63,3,4,0,2,2,1,0,1,3
2021-01-04,3,51,Pitching,0,0,4,4,4,0,7,3641.11,81,6,0,3,2,1,0,1,1
2021-06-30,3,51,Commitment,0,0,4,4,4,0,7,3641.11,171,6,0,3,2,1,0,1,1
2021-01-07,3,51,Closed,0,1,4,2,3,0,24,3641.11,172,3,3,7,7,1,0,1,2
2021-01-13,1,52,Interaction,0,0,2,2,0,2,21,3969.36,0,6,0,2,1,0,3,2,1
2021-01-04,1,52,Pitching,0,0,0,0,3,3,22,2948.66,78,1,2,8,8,0,3,2,3
2021-01-07,1,52,Negotiation,0,0,9,3,3,0,44,2948.66,169,8,2,7,7,0,3,2,0
2021-08-13,1,52,Commitment,0,0,9,3,3,0,44,2948.66,212,8,2,7,7,0,3,2,0
